age,sex,bmi,children,smoker,region,charges,SSN,Name
19,female,27.9,0,yes,southwest,16884.924,8637940,Allison Hill
18,male,33.77,1,no,southeast,1725.5523,3419283,Mark Mcclure
28,male,33,3,no,southeast,4449.462,6697848,David Hoffman
33,male,22.705,0,no,northwest,21984.47061,8227824,Kimberly Osborne
32,male,28.88,0,no,northwest,3866.8552,7631165,Benjamin Welch
31,female,25.74,0,no,southeast,3756.6216,4687234,Savannah Garcia
46,female,33.44,1,no,southeast,8240.5896,4751079,Steve Sanchez
37,female,27.74,3,no,northwest,7281.5056,52427,Shawn Baker
37,male,29.83,2,no,northeast,6406.4107,7337543,Brian Deleon
60,female,25.84,0,no,northwest,28923.13692,5951484,Nicholas Edwards
25,male,26.22,0,no,northeast,2721.3208,7693676,Michael Dixon
62,female,26.29,0,yes,southeast,27808.7251,4558122,Stephanie Simmons
23,male,34.4,0,no,southwest,1826.843,9806990,James Snow
56,female,39.82,0,no,southeast,11090.7178,9912419,Barry Bernard
27,male,42.13,0,yes,southeast,39611.7577,3147379,Samuel Short
19,male,24.6,1,no,southwest,1837.237,8557444,Justin Allen
52,female,30.78,1,no,northeast,10797.3362,1167190,Joseph Hill
23,male,23.845,0,no,northeast,2395.17155,3447134,Lisa Singh
56,male,40.3,0,no,southwest,10602.385,7429671,Katherine Miller
30,male,35.3,0,yes,southwest,36837.467,1093248,April Booth
60,female,36.005,0,no,northeast,13228.84695,5886753,Katie Suarez
30,female,32.4,1,no,southwest,4149.736,3431611,Charles Pitts
18,male,34.1,0,no,southeast,1137.011,7436713,Kathleen Aguilar
34,female,31.92,1,yes,northeast,37701.8768,8588424,Patricia Becker
37,male,28.025,2,no,northwest,6203.90175,1382675,Ashley Hall
59,female,27.72,3,no,southeast,14001.1338,3529042,Colton Martinez
63,female,23.085,0,no,northeast,14451.83515,1592124,Ivan Wheeler
55,female,32.775,2,no,northwest,12268.63225,6560494,Nicholas Edwards
23,male,17.385,1,no,northwest,2775.19215,6675254,Sandra Adams
31,male,36.3,2,yes,southwest,38711,762268,Douglas Gregory
22,male,35.6,0,yes,southwest,35585.576,1818835,Travis Stevens
18,female,26.315,0,no,northeast,2198.18985,9807935,John Welch
19,female,28.6,5,no,southwest,4687.797,6291486,Raymond Shelton
